,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1254,Unlabeled 1254,Unlabeled 1254,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C4C80","C4C80","C4C80","C4C90","C4C90","C4C90","C4C60","C4C60","C4C60","C4CC0","C4CC0","C4CC0","C4CE0","C4CE0","C4CE0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,-54.844120,15.482958,74.434280,-0.685224,0.104332,-0.752991,0.000596,-0.050755,-0.056242,-0.037863,0.768096,0.042138,0.044624,0.027206,0.504077,0.008617,0.011618,0.010657,0.665819,-0.656742,0.028064,-0.727684,-0.707330,0.164526,-0.776264,-0.691767,0.120203,-0.754987,,,,,,
20,0.166667,-54.805161,15.421193,74.384666,-0.685226,0.104328,-0.752992,0.000596,-0.050755,-0.056242,-0.037863,0.770542,0.042138,0.044624,0.027206,0.507665,0.008617,0.011618,0.010657,0.665749,-0.656745,0.028065,-0.727681,-0.707328,0.164519,-0.776265,-0.691777,0.120193,-0.754991,,,,,,
21,0.175000,-54.798958,15.408870,74.379066,-0.685217,0.104344,-0.753001,0.000615,-0.050755,-0.056242,-0.037863,0.770542,0.042138,0.044624,0.027206,0.507665,0.008617,0.011618,0.010657,0.665749,-0.656766,0.028037,-0.727682,-0.707282,0.164595,-0.776295,-0.691784,0.120182,-0.754983,,,,,,
22,0.183333,-54.872063,15.525444,74.461182,-0.685222,0.104338,-0.752994,0.000596,-0.050755,-0.056242,-0.037863,0.768842,0.042138,0.044624,0.027206,0.507705,0.008617,0.011618,0.010657,0.666452,-0.656749,0.028068,-0.727683,-0.707330,0.164528,-0.776269,-0.691763,0.120208,-0.754990,,,,,,
23,0.191667,-54.621838,15.128244,74.170288,-0.685226,0.104329,-0.752994,0.000601,-0.050755,-0.056242,-0.037863,0.768842,0.042138,0.044624,0.027206,0.507705,0.008617,0.011618,0.010657,0.666452,-0.656756,0.028046,-0.727676,-0.707310,0.164535,-0.776283,-0.691786,0.120195,-0.754982,,,,,,
24,0.200000,-54.649010,15.176317,74.202042,-0.685233,0.104323,-0.752994,0.000596,-0.050755,-0.056242,-0.037863,0.766872,0.042138,0.044624,0.027206,0.506756,0.008617,0.011618,0.010657,0.668783,-0.656756,0.028051,-0.727679,-0.707320,0.164521,-0.776275,-0.691792,0.120190,-0.754987,,,,,,
25,0.208333,-54.738930,15.311662,74.303589,-0.685219,0.104350,-0.752998,0.000614,-0.050755,-0.056242,-0.037863,0.766872,0.042138,0.044624,0.027206,0.506756,0.008617,0.011618,0.010657,0.668783,-0.656781,0.028029,-0.727670,-0.707280,0.164596,-0.776295,-0.691779,0.120204,-0.754988,,,,,,
26,0.216667,-54.771385,15.365284,74.342621,-0.685235,0.104325,-0.752998,0.000600,-0.050755,-0.056242,-0.037863,0.763050,0.042138,0.044624,0.027206,0.503995,0.008617,0.011618,0.010657,0.668790,-0.656770,0.028039,-0.727678,-0.707324,0.164527,-0.776274,-0.691784,0.120199,-0.755002,,,,,,
27,0.225000,-54.740528,15.300455,74.304871,-0.685211,0.104357,-0.753003,0.000615,-0.050755,-0.056242,-0.037863,0.763050,0.042138,0.044624,0.027206,0.503995,0.008617,0.011618,0.010657,0.668790,-0.656762,0.028041,-0.727671,-0.707278,0.164603,-0.776306,-0.691772,0.120210,-0.754991,,,,,,
28,0.233333,-54.734459,15.308216,74.303093,-0.685230,0.104327,-0.752992,0.000596,-0.050755,-0.056242,-0.037863,0.768224,0.042138,0.044624,0.027206,0.507461,0.008617,0.011618,0.010657,0.668865,-0.656749,0.028059,-0.727679,-0.707327,0.164519,-0.776267,-0.691781,0.120198,-0.754990,,,,,,
