Format Version,1.23,Take Name,Soap_2,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 12.18.25.921 PM,Capture Start Frame,529838,Total Frames in Take,3110,Total Exported Frames,3110,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062
,ID,"C4D20","C4D20","C4D20"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
169,1.408333,0.063721,0.507934,-0.779542
170,1.416667,0.063716,0.507923,-0.779524
171,1.425000,0.063335,0.508253,-0.779765
172,1.433333,0.063707,0.507912,-0.779496
173,1.441667,0.063712,0.507905,-0.779496
174,1.450000,0.063716,0.507899,-0.779485
175,1.458333,0.063719,0.507898,-0.779482
176,1.466667,0.063683,0.507824,-0.779521
177,1.475000,0.063681,0.507825,-0.779524
178,1.483333,0.063706,0.507912,-0.779474
179,1.491667,0.063329,0.508242,-0.779731
180,1.500000,0.063327,0.508241,-0.779730
181,1.508333,0.063318,0.508248,-0.779724
182,1.516667,0.063673,0.507834,-0.779509
183,1.525000,0.063326,0.508245,-0.779723
184,1.533333,0.063324,0.508242,-0.779725
185,1.541667,0.063701,0.507901,-0.779469
186,1.550000,0.063676,0.507828,-0.779501
187,1.558333,0.063679,0.507822,-0.779507
188,1.566667,0.063323,0.508246,-0.779712
189,1.575000,0.063320,0.508244,-0.779711
190,1.583333,0.063674,0.507821,-0.779494
191,1.591667,0.063315,0.508250,-0.779702
192,1.600000,0.063698,0.507894,-0.779450
193,1.608333,0.063699,0.507896,-0.779451
194,1.616667,0.063693,0.507905,-0.779446
195,1.625000,0.063699,0.507898,-0.779446
196,1.633333,0.063319,0.508241,-0.779701
197,1.641667,0.063698,0.507896,-0.779444
198,1.650000,0.063672,0.507825,-0.779486
199,1.658333,0.063330,0.508302,-0.779657
200,1.666667,0.063664,0.507823,-0.779478
201,1.675000,0.063315,0.508245,-0.779696
202,1.683333,0.063670,0.507823,-0.779483
203,1.691667,0.063699,0.507895,-0.779442
204,1.700000,0.063676,0.507822,-0.779488
205,1.708333,0.063660,0.507870,-0.779388
206,1.716667,0.063317,0.508243,-0.779698
207,1.725000,0.063319,0.508243,-0.779701
208,1.733333,0.063672,0.507820,-0.779489
209,1.741667,0.063679,0.507812,-0.779496
210,1.750000,0.063323,0.508235,-0.779712
211,1.758333,0.063700,0.507895,-0.779460
212,1.766667,0.063676,0.507822,-0.779502
213,1.775000,0.063701,0.507893,-0.779475
214,1.783333,0.063679,0.507822,-0.779517
215,1.791667,0.063323,0.508242,-0.779736
216,1.800000,0.063681,0.507812,-0.779526
217,1.808333,0.063328,0.508180,-0.779716
218,1.816667,0.063334,0.508116,-0.779508
219,1.825000,0.063401,0.507846,-0.779335
220,1.833333,0.063676,0.507326,-0.778605
221,1.841667,0.063356,0.507447,-0.778288
222,1.850000,0.063340,0.507143,-0.777479
223,1.858333,0.063316,0.506833,-0.776622
224,1.866667,0.063258,0.506314,-0.775761
225,1.875000,0.063242,0.505893,-0.774769
226,1.883333,0.063259,0.505329,-0.773704
227,1.891667,0.063760,0.504176,-0.772373
228,1.900000,0.063380,0.503893,-0.771288
229,1.908333,0.063275,0.503358,-0.770001
