Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
1199,9.991667,-37.887707,7.256634,49.712933,-0.286612,0.123615,-0.352103,0.000451,-0.050755,-0.056242,-0.037863,0.739195,0.042138,0.044624,0.027206,0.864838,0.008617,0.011618,0.010657,0.805121,-0.280738,0.041200,-0.337069,-0.290056,0.188381,-0.367801,-0.288994,0.141362,-0.351466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,10.000000,-38.300388,-29.215319,31.839846,-0.284948,0.124058,-0.349262,0.000468,-0.050755,-0.056242,-0.037863,0.804521,0.042138,0.044624,0.027206,0.865769,0.008617,0.011618,0.010657,0.818064,-0.278801,0.040572,-0.333871,-0.287607,0.190208,-0.363169,-0.288463,0.141328,-0.350727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,10.008333,-37.763638,13.884220,52.706455,-0.284525,0.124779,-0.348710,0.000390,-0.050755,-0.056242,-0.037863,0.804521,0.042138,0.044624,0.027206,0.865769,0.008617,0.011618,0.010657,0.818064,-0.279977,0.041438,-0.334820,-0.286900,0.191245,-0.363328,-0.286727,0.141604,-0.347965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,10.016667,-37.309071,5.898742,47.955853,-0.283563,0.123800,-0.345809,0.000308,-0.050755,-0.056242,-0.037863,0.974823,0.042138,0.044624,0.027206,0.684160,0.008617,0.011618,0.010657,0.645950,-0.278995,0.041433,-0.331079,-0.285778,0.188934,-0.360991,-0.285864,0.141140,-0.345386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,10.025000,-38.571468,-6.478897,43.141636,-0.280827,0.123065,-0.340670,0.000217,-0.050755,-0.056242,-0.037863,0.701282,0.042138,0.044624,0.027206,0.934003,0.008617,0.011618,0.010657,0.787047,-0.274803,0.040971,-0.322868,-0.283802,0.187838,-0.357690,-0.283843,0.140446,-0.341469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,10.033333,-39.995586,-11.464580,41.963879,-0.279101,0.122552,-0.336995,0.000297,-0.050755,-0.056242,-0.037863,0.849278,0.042138,0.044624,0.027206,0.954006,0.008617,0.011618,0.010657,0.905103,-0.271881,0.040584,-0.316628,-0.282951,0.187301,-0.355752,-0.282482,0.139745,-0.338596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,10.041667,-40.403713,-9.395828,43.000614,-0.279010,0.122134,-0.336327,0.000155,-0.050755,-0.056242,-0.037863,0.943976,0.042138,0.044624,0.027206,0.893334,0.008617,0.011618,0.010657,0.897365,-0.271533,0.040535,-0.315537,-0.283097,0.186401,-0.355576,-0.282388,0.139483,-0.337872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,10.050000,-40.659241,0.316711,47.281517,-0.279635,0.122101,-0.337272,0.000232,-0.050755,-0.056242,-0.037863,0.954904,0.042138,0.044624,0.027206,0.973561,0.008617,0.011618,0.010657,0.938643,-0.272652,0.040611,-0.316986,-0.283571,0.186497,-0.356526,-0.282661,0.139235,-0.338314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,10.058333,-40.832272,-2.615608,46.130264,-0.279719,0.121904,-0.337698,0.000250,-0.050755,-0.056242,-0.037863,0.863832,0.042138,0.044624,0.027206,0.941490,0.008617,0.011618,0.010657,0.817751,-0.272429,0.040483,-0.316784,-0.283769,0.186277,-0.357341,-0.282951,0.138972,-0.338973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,10.066667,-41.756229,-4.897012,45.545906,-0.279976,0.121245,-0.337682,0.000255,-0.050755,-0.056242,-0.037863,0.850539,0.042138,0.044624,0.027206,0.962378,0.008617,0.011618,0.010657,0.832736,-0.271840,0.040462,-0.315300,-0.284614,0.185060,-0.358418,-0.283449,0.138260,-0.339342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,10.075000,-44.262039,2.457921,49.921066,-0.280066,0.120076,-0.337273,0.000265,-0.050755,-0.056242,-0.037863,0.808929,0.042138,0.044624,0.027206,0.965055,0.008617,0.011618,0.010657,0.790286,-0.270902,0.040205,-0.312519,-0.285823,0.183027,-0.360188,-0.283445,0.137054,-0.339130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,10.083333,-44.591103,-13.283628,43.706684,-0.279998,0.119191,-0.337363,0.000146,-0.050755,-0.056242,-0.037863,0.978345,0.042138,0.044624,0.027206,0.971453,0.008617,0.011618,0.010657,0.982938,-0.269246,0.039692,-0.310051,-0.286569,0.181531,-0.361670,-0.284185,0.136339,-0.340364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,10.091667,-45.393768,-5.472911,47.527309,-0.281781,0.118865,-0.339857,0.000358,-0.050755,-0.056242,-0.037863,0.881495,0.042138,0.044624,0.027206,0.898693,0.008617,0.011618,0.010657,0.792845,-0.270798,0.039995,-0.312191,-0.288758,0.181223,-0.364646,-0.285767,0.135409,-0.342744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,10.100000,-48.108238,5.931783,53.570225,-0.283058,0.117767,-0.342199,0.000290,-0.050755,-0.056242,-0.037863,0.838479,0.042138,0.044624,0.027206,0.881248,0.008617,0.011618,0.010657,0.730047,-0.271559,0.039467,-0.313361,-0.290765,0.179362,-0.368578,-0.286835,0.134507,-0.344669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,10.108333,-47.666199,-9.876101,47.300545,-0.284122,0.116678,-0.343624,0.000229,-0.050755,-0.056242,-0.037863,0.943412,0.042138,0.044624,0.027206,0.924207,0.008617,0.011618,0.010657,0.870697,-0.270740,0.039385,-0.312198,-0.292865,0.177484,-0.371333,-0.288757,0.133174,-0.347345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,10.116667,-50.155895,-0.821415,52.351131,-0.285531,0.115676,-0.345910,0.000265,-0.050755,-0.056242,-0.037863,0.892422,0.042138,0.044624,0.027206,0.886932,0.008617,0.011618,0.010657,0.784322,-0.271233,0.039348,-0.312918,-0.295271,0.175665,-0.375214,-0.290080,0.132032,-0.349604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,10.125000,-51.424393,-2.208763,52.410866,-0.287358,0.113949,-0.348519,0.000236,-0.050755,-0.056242,-0.037863,0.829369,0.042138,0.044624,0.027206,0.962746,0.008617,0.011618,0.010657,0.806965,-0.271918,0.038829,-0.313740,-0.297961,0.172804,-0.379245,-0.292171,0.130266,-0.352591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,10.133333,-53.973427,-0.282865,54.421349,-0.288890,0.112460,-0.350892,0.000325,-0.050755,-0.056242,-0.037863,0.829369,0.042138,0.044624,0.027206,0.962746,0.008617,0.011618,0.010657,0.806965,-0.271821,0.039251,-0.313680,-0.300804,0.169733,-0.383688,-0.293994,0.128497,-0.355347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,10.141667,-55.353283,-6.492104,52.860630,-0.289730,0.110073,-0.352407,0.000379,-0.050755,-0.056242,-0.037863,0.705800,0.042138,0.044624,0.027206,0.970017,0.008617,0.011618,0.010657,0.750441,-0.270658,0.038963,-0.312122,-0.303125,0.165187,-0.387400,-0.295345,0.126190,-0.357751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,10.150000,-56.768559,-12.084121,51.600182,-0.290924,0.107674,-0.354137,0.000428,-0.050755,-0.056242,-0.037863,0.706984,0.042138,0.044624,0.027206,0.836907,0.008617,0.011618,0.010657,0.873758,-0.269896,0.038974,-0.311044,-0.305665,0.160790,-0.391112,-0.297128,0.123418,-0.360327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,10.158333,-59.054562,-12.202612,53.026627,-0.292491,0.105077,-0.356757,0.000484,-0.050755,-0.056242,-0.037863,0.644649,0.042138,0.044624,0.027206,0.744251,0.008617,0.011618,0.010657,0.907081,-0.269481,0.038835,-0.311077,-0.308723,0.156193,-0.395835,-0.299175,0.120378,-0.363441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,10.166667,-60.259216,-13.996005,53.055397,-0.295013,0.102702,-0.360559,0.000639,-0.050755,-0.056242,-0.037863,0.600247,0.042138,0.044624,0.027206,0.737229,0.008617,0.011618,0.010657,0.869562,-0.270811,0.038135,-0.313207,-0.312198,0.152106,-0.400819,-0.301916,0.118075,-0.367750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,10.175000,-63.231998,-6.758823,56.668343,-0.297421,0.100447,-0.364027,0.000752,-0.050755,-0.056242,-0.037863,0.566105,0.042138,0.044624,0.027206,0.616853,0.008617,0.011618,0.010657,0.862418,-0.272534,0.037752,-0.315604,-0.315231,0.148695,-0.405631,-0.304342,0.115175,-0.370981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,10.183333,-63.165329,-16.133991,53.772972,-0.298835,0.098393,-0.366157,0.000800,-0.050755,-0.056242,-0.037863,0.341972,0.042138,0.044624,0.027206,0.639035,0.008617,0.011618,0.010657,0.739940,-0.272191,0.037907,-0.315458,-0.317745,0.144533,-0.409013,-0.306408,0.113021,-0.374138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,10.191667,-65.326714,-13.966120,55.638645,-0.300462,0.096539,-0.368696,0.000701,-0.050755,-0.056242,-0.037863,0.372190,0.042138,0.044624,0.027206,0.624554,0.008617,0.011618,0.010657,0.796400,-0.272706,0.038120,-0.316405,-0.320257,0.141395,-0.413005,-0.308257,0.110385,-0.376819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,10.200000,-67.416412,-11.730908,57.219872,-0.301993,0.094233,-0.370950,0.000807,-0.050755,-0.056242,-0.037863,0.377797,0.042138,0.044624,0.027206,0.554201,0.008617,0.011618,0.010657,0.813930,-0.273541,0.037384,-0.317265,-0.322547,0.137365,-0.416368,-0.309714,0.108242,-0.379366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,10.208333,-67.961548,-15.060145,56.034454,-0.302824,0.092800,-0.372392,0.000977,-0.050755,-0.056242,-0.037863,0.198424,0.042138,0.044624,0.027206,0.421793,0.008617,0.011618,0.010657,0.794997,-0.273589,0.038001,-0.317633,-0.323723,0.134372,-0.418547,-0.310925,0.106411,-0.381192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,10.216667,-67.929916,-18.566902,55.339321,-0.303834,0.091893,-0.373850,0.000845,-0.050755,-0.056242,-0.037863,0.319806,0.042138,0.044624,0.027206,0.501502,0.008617,0.011618,0.010657,0.828231,-0.273816,0.037988,-0.318157,-0.325229,0.132872,-0.420559,-0.312247,0.105153,-0.383005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,10.225000,-69.474037,-14.513706,56.996323,-0.304915,0.090948,-0.375548,0.001021,-0.050755,-0.056242,-0.037863,0.186647,0.042138,0.044624,0.027206,0.419713,0.008617,0.011618,0.010657,0.777975,-0.274788,0.037827,-0.319649,-0.326520,0.131098,-0.422634,-0.313192,0.104311,-0.384561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,10.233333,-69.746262,-15.256317,57.073273,-0.305466,0.090351,-0.376440,0.000930,-0.050755,-0.056242,-0.037863,0.252937,0.042138,0.044624,0.027206,0.462685,0.008617,0.011618,0.010657,0.806319,-0.274992,0.037707,-0.320047,-0.327380,0.130156,-0.423832,-0.313796,0.103554,-0.385626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,10.241667,-69.454071,-17.411926,56.371357,-0.305461,0.090073,-0.376573,0.000862,-0.050755,-0.056242,-0.037863,0.317915,0.042138,0.044624,0.027206,0.494424,0.008617,0.011618,0.010657,0.827853,-0.274814,0.037652,-0.319819,-0.327436,0.129746,-0.424128,-0.313918,0.103158,-0.385946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,10.250000,-69.748688,-16.207729,56.754547,-0.305431,0.089982,-0.376571,0.000928,-0.050755,-0.056242,-0.037863,0.282521,0.042138,0.044624,0.027206,0.460383,0.008617,0.011618,0.010657,0.811121,-0.274879,0.037550,-0.319899,-0.327368,0.129551,-0.424119,-0.313819,0.103200,-0.385878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,10.258333,-69.360664,-15.544769,56.588089,-0.304859,0.090772,-0.376037,0.000927,-0.050755,-0.056242,-0.037863,0.282521,0.042138,0.044624,0.027206,0.460383,0.008617,0.011618,0.010657,0.811121,-0.274868,0.037545,-0.319802,-0.326360,0.130984,-0.423288,-0.313129,0.104138,-0.385202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,10.266667,-68.335754,-16.192333,55.673187,-0.303999,0.091984,-0.374978,0.000926,-0.050755,-0.056242,-0.037863,0.287338,0.042138,0.044624,0.027206,0.472001,0.008617,0.011618,0.010657,0.803641,-0.274696,0.037749,-0.319494,-0.324930,0.133098,-0.421607,-0.312147,0.105469,-0.384018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,10.275000,-67.196991,-16.958876,55.090607,-0.303071,0.093053,-0.373463,0.000775,-0.050755,-0.056242,-0.037863,0.250585,0.042138,0.044624,0.027206,0.446903,0.008617,0.011618,0.010657,0.813614,-0.274319,0.037444,-0.318649,-0.323627,0.135353,-0.419496,-0.311080,0.106670,-0.382400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,10.283333,-67.141640,-12.972361,56.430168,-0.302076,0.094540,-0.372057,0.000787,-0.050755,-0.056242,-0.037863,0.369967,0.042138,0.044624,0.027206,0.527013,0.008617,0.011618,0.010657,0.852341,-0.273899,0.037653,-0.318242,-0.322325,0.137757,-0.417520,-0.309830,0.108502,-0.380555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,10.291667,-65.295731,-14.353789,55.166786,-0.300975,0.096262,-0.370459,0.000632,-0.050755,-0.056242,-0.037863,0.382366,0.042138,0.044624,0.027206,0.558466,0.008617,0.011618,0.010657,0.818463,-0.273760,0.037511,-0.317908,-0.320401,0.141264,-0.414878,-0.308617,0.110259,-0.378712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,10.300000,-64.432480,-12.031542,55.529202,-0.299602,0.098057,-0.368719,0.000522,-0.050755,-0.056242,-0.037863,0.460030,0.042138,0.044624,0.027206,0.650376,0.008617,0.011618,0.010657,0.838460,-0.273496,0.037408,-0.317395,-0.318373,0.144510,-0.412186,-0.306825,0.112450,-0.376673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,10.308333,-64.768921,-6.862954,58.209087,-0.298834,0.099545,-0.367364,0.000235,-0.050755,-0.056242,-0.037863,0.566826,0.042138,0.044624,0.027206,0.711880,0.008617,0.011618,0.010657,0.872526,-0.273040,0.037293,-0.316765,-0.317606,0.147615,-0.410408,-0.305830,0.113777,-0.374942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,10.316667,-65.720352,-0.136346,61.219677,-0.298162,0.100846,-0.365929,0.000333,-0.050755,-0.056242,-0.037863,0.854036,0.042138,0.044624,0.027206,0.872047,0.008617,0.011618,0.010657,0.735971,-0.272895,0.037353,-0.316532,-0.316757,0.149861,-0.408359,-0.304822,0.115353,-0.372908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,10.325000,-62.674316,-4.198449,57.965721,-0.296725,0.102596,-0.363866,0.000305,-0.050755,-0.056242,-0.037863,0.765788,0.042138,0.044624,0.027206,0.956388,0.008617,0.011618,0.010657,0.795461,-0.272733,0.037621,-0.316175,-0.314114,0.152817,-0.404789,-0.303283,0.117434,-0.370671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,10.333333,-60.502869,-7.123376,55.639740,-0.295150,0.104323,-0.361757,0.000295,-0.050755,-0.056242,-0.037863,0.753590,0.042138,0.044624,0.027206,0.954054,0.008617,0.011618,0.010657,0.813254,-0.272262,0.038002,-0.315465,-0.311500,0.155757,-0.401473,-0.301639,0.119301,-0.368374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,10.341667,-59.398693,-6.510780,55.122379,-0.293973,0.105651,-0.359984,0.000333,-0.050755,-0.056242,-0.037863,0.703981,0.042138,0.044624,0.027206,0.882381,0.008617,0.011618,0.010657,0.843363,-0.272006,0.038233,-0.315093,-0.309666,0.157853,-0.398592,-0.300182,0.120990,-0.366320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,10.350000,-58.338123,-4.798666,54.734783,-0.292571,0.107104,-0.358044,0.000504,-0.050755,-0.056242,-0.037863,0.635431,0.042138,0.044624,0.027206,0.792446,0.008617,0.011618,0.010657,0.819340,-0.271983,0.038375,-0.314828,-0.307183,0.160118,-0.395512,-0.298468,0.122969,-0.363859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,10.358333,-55.433678,-11.023585,50.491226,-0.290756,0.108894,-0.355352,0.000583,-0.050755,-0.056242,-0.037863,0.533389,0.042138,0.044624,0.027206,0.654856,0.008617,0.011618,0.010657,0.867606,-0.271503,0.038834,-0.314240,-0.304029,0.163029,-0.390865,-0.296626,0.125029,-0.361043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,10.366667,-53.100105,-14.442148,47.620758,-0.289320,0.111001,-0.352846,0.000671,-0.050755,-0.056242,-0.037863,0.488518,0.042138,0.044624,0.027206,0.578014,0.008617,0.011618,0.010657,0.863349,-0.271521,0.039297,-0.314226,-0.301256,0.166443,-0.386253,-0.295063,0.127494,-0.358157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,10.375000,-50.148041,-16.363684,45.268250,-0.288608,0.114189,-0.352294,0.000683,-0.050755,-0.056242,-0.037863,0.591863,0.042138,0.044624,0.027206,0.544666,0.008617,0.011618,0.010657,0.824035,-0.272831,0.039841,-0.317345,-0.299038,0.171515,-0.382605,-0.293853,0.131410,-0.357014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,10.383333,-45.887444,-13.617488,44.236210,-0.289646,0.118773,-0.354714,0.000418,-0.050755,-0.056242,-0.037863,0.591863,0.042138,0.044624,0.027206,0.544666,0.008617,0.011618,0.010657,0.824035,-0.277231,0.040919,-0.325895,-0.297487,0.179370,-0.380301,-0.294152,0.136163,-0.357996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,10.391667,-42.689548,2.102656,48.869179,-0.291197,0.124630,-0.357984,0.000490,-0.050755,-0.056242,-0.037863,0.719351,0.042138,0.044624,0.027206,0.724522,0.008617,0.011618,0.010657,0.913587,-0.282737,0.044435,-0.335552,-0.296461,0.187346,-0.379289,-0.294324,0.142252,-0.359156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,10.400000,-41.410046,9.572851,51.719452,-0.290574,0.128975,-0.357317,0.000371,-0.050755,-0.056242,-0.037863,0.647269,0.042138,0.044624,0.027206,0.785962,0.008617,0.011618,0.010657,0.833385,-0.283590,0.047816,-0.337865,-0.294722,0.193346,-0.376360,-0.293362,0.145861,-0.357754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,10.408333,-39.687145,-1.269906,46.035126,-0.287884,0.130527,-0.353289,0.000369,-0.050755,-0.056242,-0.037863,0.684463,0.042138,0.044624,0.027206,0.950672,0.008617,0.011618,0.010657,0.665014,-0.280972,0.049245,-0.334490,-0.291741,0.194395,-0.371472,-0.290868,0.148082,-0.353947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,10.416667,-40.106617,-1.160772,46.311916,-0.284898,0.131256,-0.348218,0.000428,-0.050755,-0.056242,-0.037863,0.662940,0.042138,0.044624,0.027206,0.811370,0.008617,0.011618,0.010657,0.872522,-0.277474,0.050424,-0.328941,-0.289046,0.194925,-0.366836,-0.288089,0.148589,-0.348928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,10.425000,-41.229778,-3.326314,46.582455,-0.281129,0.131031,-0.342605,0.000437,-0.050755,-0.056242,-0.037863,0.568742,0.042138,0.044624,0.027206,0.793385,0.008617,0.011618,0.010657,0.811354,-0.272098,0.050545,-0.321481,-0.286520,0.194153,-0.362661,-0.284698,0.148541,-0.343718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,10.433333,-41.537941,-10.660884,43.745575,-0.277644,0.130822,-0.337412,0.000457,-0.050755,-0.056242,-0.037863,0.646736,0.042138,0.044624,0.027206,0.794596,0.008617,0.011618,0.010657,0.851489,-0.267522,0.050818,-0.315235,-0.283679,0.193441,-0.357929,-0.281648,0.148375,-0.339126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,10.441667,-41.107227,-11.664338,43.311356,-0.275387,0.130462,-0.333926,0.000431,-0.050755,-0.056242,-0.037863,0.618461,0.042138,0.044624,0.027206,0.705471,0.008617,0.011618,0.010657,0.927268,-0.265186,0.050341,-0.312302,-0.281453,0.193259,-0.353944,-0.279435,0.147960,-0.335588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,10.450000,-41.036839,-3.722124,46.650276,-0.274151,0.129936,-0.331481,0.000414,-0.050755,-0.056242,-0.037863,0.590904,0.042138,0.044624,0.027206,0.797448,0.008617,0.011618,0.010657,0.826169,-0.264663,0.049625,-0.310626,-0.279839,0.193138,-0.351287,-0.277867,0.147214,-0.332582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,10.458333,-41.714874,0.697603,48.535835,-0.272735,0.127667,-0.327521,0.000424,-0.050755,-0.056242,-0.037863,0.566667,0.042138,0.044624,0.027206,0.840669,0.008617,0.011618,0.010657,0.760839,-0.263625,0.047491,-0.306322,-0.278257,0.190892,-0.347775,-0.276244,0.144782,-0.328518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,10.466667,-42.757050,-3.516393,46.610138,-0.270128,0.123749,-0.321415,0.000430,-0.050755,-0.056242,-0.037863,0.624653,0.042138,0.044624,0.027206,0.764225,0.008617,0.011618,0.010657,0.874141,-0.260900,0.043968,-0.298136,-0.275736,0.186221,-0.343099,-0.273672,0.141214,-0.323065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,10.475000,-43.924244,-10.588451,43.625240,-0.267381,0.119489,-0.314925,0.000329,-0.050755,-0.056242,-0.037863,0.698839,0.042138,0.044624,0.027206,0.764212,0.008617,0.011618,0.010657,0.949604,-0.257669,0.040264,-0.289321,-0.273161,0.181442,-0.338055,-0.271243,0.136899,-0.317448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,10.483333,-43.432671,-13.638127,42.935799,-0.265542,0.120384,-0.313229,0.000345,-0.050755,-0.056242,-0.037863,0.689971,0.042138,0.044624,0.027206,0.813233,0.008617,0.011618,0.010657,0.890120,-0.256255,0.039379,-0.287256,-0.271180,0.183855,-0.336285,-0.269257,0.137784,-0.316099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,10.491667,-44.278984,11.476812,54.801205,-0.267347,0.122456,-0.314301,0.000818,-0.050755,-0.056242,-0.037863,0.893916,0.042138,0.044624,0.027206,0.437678,0.008617,0.011618,0.010657,0.448922,-0.258724,0.041244,-0.291298,-0.272647,0.187714,-0.335621,-0.270732,0.138292,-0.315940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,10.500000,-42.945438,8.947056,51.908943,-0.266148,0.121916,-0.312644,0.000474,-0.050755,-0.056242,-0.037863,0.746628,0.042138,0.044624,0.027206,0.889669,0.008617,0.011618,0.010657,0.719539,-0.258622,0.041071,-0.291115,-0.270838,0.185400,-0.333655,-0.268950,0.139352,-0.313185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,10.508333,-42.037350,-24.600117,35.800922,-0.264758,0.122016,-0.310397,0.000250,-0.050755,-0.056242,-0.037863,0.746628,0.042138,0.044624,0.027206,0.889669,0.008617,0.011618,0.010657,0.719539,-0.256609,0.040806,-0.288045,-0.268979,0.186103,-0.330157,-0.268678,0.139150,-0.312993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,10.516667,-41.707355,3.877487,49.679470,-0.264499,0.122710,-0.310457,0.000449,-0.050755,-0.056242,-0.037863,0.966605,0.042138,0.044624,0.027206,0.931341,0.008617,0.011618,0.010657,0.897645,-0.257309,0.040834,-0.288992,-0.268626,0.187772,-0.330677,-0.267606,0.139435,-0.311670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,10.525000,-41.497353,3.452795,48.596939,-0.264746,0.122274,-0.310157,0.000274,-0.050755,-0.056242,-0.037863,0.896662,0.042138,0.044624,0.027206,0.646850,0.008617,0.011618,0.010657,0.710821,-0.258001,0.041054,-0.289200,-0.268512,0.186462,-0.330176,-0.267702,0.139354,-0.311111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,10.533333,-42.391953,-0.043937,47.090176,-0.263430,0.121559,-0.307355,0.000305,-0.050755,-0.056242,-0.037863,0.820308,0.042138,0.044624,0.027206,0.926757,0.008617,0.011618,0.010657,0.760971,-0.256071,0.041184,-0.284797,-0.267536,0.184968,-0.328537,-0.266634,0.138626,-0.308763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
