Format Version,1.23,Take Name,FloorBottom_240610_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 12.17.55.129 PM,Capture Start Frame,1039418,Total Frames in Take,2308,Total Exported Frames,2308,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
22,0.183333,,,,,,,,,,,,,,,,,,,,-1.025984,0.367698,-0.884249,,,,-1.069223,0.458880,-0.870854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,,,,,,,,,,,,,,,,,,,,-1.024697,0.372168,-0.883113,,,,-1.067818,0.463502,-0.869477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,,,,,,,,,,,,,,,,,,,,-1.022567,0.377177,-0.882114,,,,-1.066454,0.467981,-0.868126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,,,,,,,,,,,,,,,,,,,,-1.020525,0.381735,-0.880911,,,,-1.064491,0.472460,-0.866661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,,,,,,,,,,,,,,,,,,,,-1.018196,0.386172,-0.879692,,,,-1.062314,0.476689,-0.865163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,,,,,,,,,,,,,,,,,,,,-1.015728,0.390221,-0.878348,,,,-1.059832,0.480802,-0.863632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,,,,,,,,,,,,,,,,,,,,-1.012815,0.394109,-0.876913,,,,-1.056964,0.484595,-0.862078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,,,,,,,,,,,,,,,,,,,,-1.009505,0.397758,-0.875451,,,,-1.053443,0.488324,-0.860420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,,,,,,,,,,,,,,,,,,,,-1.005633,0.401237,-0.873924,,,,-1.049916,0.491638,-0.858811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,,,,,,,,,,,,,,,,,,,,-1.001489,0.404459,-0.872367,,,,-1.045689,0.494767,-0.857128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,,,,,,,,,,,,,,,,,,,,-0.996998,0.407167,-0.870748,,,,-1.041559,0.497390,-0.855522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,,,,,,,,,,,,,,,,,,,,-0.992038,0.409634,-0.869093,,,,-1.036590,0.499929,-0.853849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,,,,,,,,,,,,,,,,,,,,-0.986662,0.411800,-0.867432,,,,-1.031369,0.501992,-0.852175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,,,,,,,,,,,,,,,,,,,,-0.981232,0.413439,-0.865695,,,,-1.025985,0.503453,-0.850499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,,,,,,,,,,,,,,,,,,,,-0.975398,0.414624,-0.863929,,,,-1.020188,0.504772,-0.848943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,,,,,,,,,,,,,,,,,,,,-0.969364,0.415288,-0.862157,,,,-1.014453,0.505208,-0.847215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,,,,,,,,,,,,,,,,,,,,-0.963017,0.415570,-0.860230,,,,-1.008245,0.505431,-0.845613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,,,,,,,,,,,,,,,,,,,,-0.956415,0.415365,-0.858406,,,,-1.001444,0.505386,-0.844029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,,,,,,,,,,,,,,,,,,,,-0.949471,0.414740,-0.856508,,,,-0.994990,0.504666,-0.842466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,,,,,,,,,,,,,,,,,,,,-0.942665,0.413585,-0.854694,,,,-0.987925,0.503648,-0.840911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,,,,,,,,,,,,,,,,,,,,-0.935483,0.412100,-0.852887,,,,-0.980888,0.502155,-0.839515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,,,,,,,,,,,,,,,,,,,,-0.928269,0.409959,-0.850992,,,,-0.973744,0.499977,-0.838059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,,,,,,,,,,,,,,,,,,,,-0.921077,0.407195,-0.849131,,,,-0.966410,0.497444,-0.836684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,,,,,,,,,,,,,,,,,,,,-0.913599,0.404062,-0.847345,,,,-0.958773,0.494419,-0.835399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.383333,,,,,,,,,,,,,,,,,,,,-0.906173,0.400284,-0.845483,,,,-0.951405,0.490636,-0.834128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
