Format Version,1.23,Take Name,BeigeRubber_240610_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-06-10 10.55.03.015 AM,Capture Start Frame,442731,Total Frames in Take,2249,Total Exported Frames,2249,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
28,0.233333,-55.102352,19.703833,79.528549,-0.831485,0.110570,-0.828272,0.000673,-0.050755,-0.056242,-0.037863,0.658845,0.042138,0.044624,0.027206,0.586325,0.008617,0.011618,0.010657,0.821967,-0.801673,0.033132,-0.808100,-0.855689,0.171345,-0.847694,-0.837354,0.126970,-0.828988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-55.144836,19.772863,79.567596,-0.831513,0.110557,-0.828285,0.000673,-0.050755,-0.056242,-0.037863,0.661244,0.042138,0.044624,0.027206,0.593805,0.008617,0.011618,0.010657,0.828167,-0.801738,0.033095,-0.808111,-0.855712,0.171327,-0.847709,-0.837348,0.126985,-0.829001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-55.192291,19.819714,79.613884,-0.831519,0.110560,-0.828290,0.000676,-0.050755,-0.056242,-0.037863,0.655980,0.042138,0.044624,0.027206,0.591818,0.008617,0.011618,0.010657,0.830382,-0.801751,0.033085,-0.808104,-0.855720,0.171332,-0.847720,-0.837346,0.126997,-0.829013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-55.172020,19.753660,79.598534,-0.831512,0.110566,-0.828284,0.000673,-0.050755,-0.056242,-0.037863,0.655980,0.042138,0.044624,0.027206,0.591818,0.008617,0.011618,0.010657,0.830382,-0.801687,0.033127,-0.808093,-0.855746,0.171321,-0.847719,-0.837365,0.126984,-0.829008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-55.176346,19.756695,79.599037,-0.831513,0.110556,-0.828288,0.000667,-0.050755,-0.056242,-0.037863,0.669197,0.042138,0.044624,0.027206,0.594216,0.008617,0.011618,0.010657,0.823521,-0.801670,0.033142,-0.808096,-0.855746,0.171305,-0.847722,-0.837375,0.126962,-0.829014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-55.132133,19.704979,79.563057,-0.831514,0.110562,-0.828291,0.000668,-0.050755,-0.056242,-0.037863,0.669576,0.042138,0.044624,0.027206,0.592617,0.008617,0.011618,0.010657,0.821890,-0.801659,0.033150,-0.808110,-0.855749,0.171317,-0.847718,-0.837386,0.126961,-0.829011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-55.159966,19.758469,79.591827,-0.831539,0.110550,-0.828298,0.000668,-0.050755,-0.056242,-0.037863,0.669576,0.042138,0.044624,0.027206,0.592617,0.008617,0.011618,0.010657,0.821890,-0.801713,0.033119,-0.808121,-0.855765,0.171308,-0.847722,-0.837399,0.126960,-0.829020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-55.091366,19.652740,79.508995,-0.831532,0.110553,-0.828288,0.000665,-0.050755,-0.056242,-0.037863,0.666312,0.042138,0.044624,0.027206,0.593545,0.008617,0.011618,0.010657,0.824244,-0.801688,0.033136,-0.808100,-0.855760,0.171302,-0.847722,-0.837400,0.126964,-0.829011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,-55.159714,19.730429,79.598961,-0.831530,0.110556,-0.828291,0.000668,-0.050755,-0.056242,-0.037863,0.670166,0.042138,0.044624,0.027206,0.592456,0.008617,0.011618,0.010657,0.820051,-0.801662,0.033151,-0.808113,-0.855779,0.171308,-0.847715,-0.837408,0.126948,-0.829012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,-55.122005,19.704067,79.558159,-0.831534,0.110556,-0.828286,0.000670,-0.050755,-0.056242,-0.037863,0.665900,0.042138,0.044624,0.027206,0.594178,0.008617,0.011618,0.010657,0.825904,-0.801693,0.033128,-0.808115,-0.855774,0.171310,-0.847711,-0.837388,0.126971,-0.829001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
