Format Version,1.23,Take Name,Soap_1,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-08 11.31.32.896 AM,Capture Start Frame,192254,Total Frames in Take,5449,Total Exported Frames,5449,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051
,ID,"C4C90","C4C90","C4C90"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
244,2.033333,0.063135,0.400720,-0.566915
245,2.041667,0.062161,0.400769,-0.566317
246,2.050000,0.061220,0.400699,-0.565650
247,2.058333,0.060151,0.400601,-0.565039
248,2.066667,0.058845,0.400639,-0.564251
249,2.075000,0.057642,0.400385,-0.563406
250,2.083333,0.056198,0.400264,-0.562559
251,2.091667,0.054807,0.399913,-0.561483
252,2.100000,0.053482,0.399687,-0.560390
253,2.108333,0.052227,0.399373,-0.559123
254,2.116667,0.051104,0.398946,-0.557878
255,2.125000,0.049964,0.398519,-0.556523
256,2.133333,0.049064,0.397728,-0.555205
257,2.141667,0.047923,0.397345,-0.553610
258,2.150000,0.047032,0.396486,-0.552176
259,2.158333,0.046216,0.396208,-0.551049
260,2.166667,0.045857,0.395494,-0.550038
261,2.175000,0.045626,0.395243,-0.549124
262,2.183333,0.045541,0.394582,-0.547630
263,2.191667,0.045278,0.394203,-0.546500
264,2.200000,0.044968,0.393661,-0.545563
265,2.208333,0.044622,0.393313,-0.544953
266,2.216667,0.044304,0.392881,-0.544450
267,2.225000,0.044026,0.392641,-0.544018
268,2.233333,0.043754,0.392517,-0.543739
269,2.241667,0.043253,0.392764,-0.543416
270,2.250000,0.043099,0.392643,-0.543470
271,2.258333,0.042969,0.392561,-0.543714
272,2.266667,0.042891,0.392557,-0.543731
273,2.275000,0.042816,0.392542,-0.543550
274,2.283333,0.042808,0.392536,-0.543526
275,2.291667,0.042868,0.392546,-0.543542
276,2.300000,0.042937,0.392559,-0.543690
277,2.308333,0.042961,0.392574,-0.543701
278,2.316667,0.042952,0.392565,-0.543696
279,2.325000,0.042941,0.392569,-0.543691
280,2.333333,0.042953,0.392569,-0.543700
281,2.341667,0.042965,0.392487,-0.543655
282,2.350000,0.042951,0.392563,-0.543705
283,2.358333,0.042951,0.392567,-0.543702
284,2.366667,0.042952,0.392572,-0.543697
285,2.375000,0.042944,0.392569,-0.543690
286,2.383333,0.042960,0.392485,-0.543637
287,2.391667,0.042966,0.392577,-0.543693
288,2.400000,0.042961,0.392581,-0.543693
289,2.408333,0.042957,0.392575,-0.543698
290,2.416667,0.042954,0.392486,-0.543637
291,2.425000,0.042954,0.392564,-0.543693
292,2.433333,0.042958,0.392575,-0.543695
293,2.441667,0.042948,0.392571,-0.543693
294,2.450000,0.042950,0.392566,-0.543697
295,2.458333,0.042956,0.392576,-0.543699
296,2.466667,0.042967,0.392577,-0.543704
297,2.475000,0.042971,0.392564,-0.543699
298,2.483333,0.042969,0.392574,-0.543696
299,2.491667,0.042976,0.392571,-0.543689
300,2.500000,0.042986,0.392570,-0.543696
301,2.508333,0.043069,0.392536,-0.543668
302,2.516667,0.043080,0.392554,-0.543670
303,2.525000,0.043086,0.392537,-0.543665
304,2.533333,0.043071,0.392538,-0.543653
305,2.541667,0.043067,0.392608,-0.543683
306,2.550000,0.043078,0.392538,-0.543657
307,2.558333,0.043077,0.392541,-0.543655
308,2.566667,0.043029,0.392577,-0.543694
309,2.575000,0.043083,0.392607,-0.543691
310,2.583333,0.043087,0.392540,-0.543659
311,2.591667,0.043077,0.392551,-0.543652
312,2.600000,0.043088,0.392534,-0.543657
313,2.608333,0.043090,0.392537,-0.543651
314,2.616667,0.043081,0.392548,-0.543645
315,2.625000,0.043085,0.392543,-0.543653
316,2.633333,0.043071,0.392545,-0.543652
317,2.641667,0.043012,0.392572,-0.543687
318,2.650000,0.042986,0.392576,-0.543684
319,2.658333,0.042963,0.392574,-0.543678
320,2.666667,0.042926,0.392658,-0.543606
321,2.675000,0.042923,0.392584,-0.543693
322,2.683333,0.042913,0.392502,-0.543623
323,2.691667,0.042875,0.392564,-0.543521
324,2.700000,0.042861,0.392572,-0.543511
325,2.708333,0.042839,0.392585,-0.543542
326,2.716667,0.042817,0.392644,-0.543727
327,2.725000,0.042834,0.392713,-0.543844
328,2.733333,0.042821,0.392760,-0.544031
329,2.741667,0.042785,0.392882,-0.544270
330,2.750000,0.042828,0.392933,-0.544536
331,2.758333,0.042730,0.393193,-0.544779
332,2.766667,0.042884,0.393230,-0.545024
333,2.775000,0.042982,0.393416,-0.545255
334,2.783333,0.043039,0.393496,-0.545505
335,2.791667,0.043177,0.393609,-0.545851
336,2.800000,0.043226,0.394118,-0.546196
337,2.808333,0.043374,0.394299,-0.546629
338,2.816667,0.043489,0.394713,-0.547224
339,2.825000,0.043608,0.395276,-0.547739
340,2.833333,0.043741,0.395628,-0.548433
341,2.841667,0.043962,0.396152,-0.549297
342,2.850000,0.044111,0.396732,-0.550225
343,2.858333,0.044306,0.397194,-0.551314
344,2.866667,0.044630,0.397657,-0.552507
345,2.875000,0.044946,0.398068,-0.553853
346,2.883333,0.045284,0.398604,-0.555384
347,2.891667,0.045505,0.399114,-0.556863
348,2.900000,0.045770,0.399736,-0.558616
349,2.908333,0.046098,0.400418,-0.559926
350,2.916667,0.046464,0.401203,-0.561155
351,2.925000,0.046821,0.401822,-0.562464
352,2.933333,0.047077,0.402588,-0.563766
353,2.941667,0.047324,0.403114,-0.565216
354,2.950000,0.047512,0.403699,-0.566808
355,2.958333,0.047705,0.404355,-0.567952
356,2.966667,0.047826,0.405071,-0.569166
357,2.975000,0.048010,0.405575,-0.570375
358,2.983333,0.047925,0.406164,-0.571843
359,2.991667,0.047688,0.406869,-0.573315
360,3.000000,0.047201,0.407677,-0.574935
361,3.008333,0.046653,0.408524,-0.576671
362,3.016667,0.045830,0.409386,-0.578466
363,3.025000,0.044938,0.410271,-0.580317
