,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,BoomLeg_2406...,"BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker1","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker2","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3","BoomLeg_2406...:Marker3",BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker1,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker2,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,BoomLeg_2406...:Marker3,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114
,ID,"EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","EAC16C71273111EFD78ED9B15AC478AE","C40A0","C40A0","C40A0","C4070","C4070","C4070","C4090","C4090","C4090","C4030","C4030","C4030","C40B0","C40B0","C40B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,10.892598,11.809196,9.266049,-0.686032,0.405164,-0.742223,0.000386,-0.050755,-0.056242,-0.037863,0.847487,0.042138,0.044624,0.027206,0.928874,0.008617,0.011618,0.010657,0.830306,-0.733491,0.348358,-0.782117,-0.646816,0.451367,-0.713107,-0.677734,0.415808,-0.731410,,,,,,
20,0.166667,10.833634,11.719023,9.224018,-0.686029,0.405168,-0.742224,0.000385,-0.050755,-0.056242,-0.037863,0.844283,0.042138,0.044624,0.027206,0.930986,0.008617,0.011618,0.010657,0.824968,-0.733500,0.348357,-0.782117,-0.646852,0.451340,-0.713106,-0.677693,0.415844,-0.731420,,,,,,
21,0.175000,10.858670,11.757844,9.235290,-0.686029,0.405169,-0.742225,0.000383,-0.050755,-0.056242,-0.037863,0.846819,0.042138,0.044624,0.027206,0.928264,0.008617,0.011618,0.010657,0.831750,-0.733514,0.348357,-0.782117,-0.646830,0.451350,-0.713104,-0.677695,0.415839,-0.731422,,,,,,
22,0.183333,10.842240,11.728139,9.223278,-0.686028,0.405167,-0.742224,0.000384,-0.050755,-0.056242,-0.037863,0.848781,0.042138,0.044624,0.027206,0.928284,0.008617,0.011618,0.010657,0.830379,-0.733515,0.348353,-0.782121,-0.646824,0.451350,-0.713101,-0.677702,0.415834,-0.731421,,,,,,
23,0.191667,10.835043,11.720012,9.225170,-0.686020,0.405174,-0.742228,0.000388,-0.050755,-0.056242,-0.037863,0.845535,0.042138,0.044624,0.027206,0.927132,0.008617,0.011618,0.010657,0.828627,-0.733486,0.348364,-0.782119,-0.646833,0.451351,-0.713101,-0.677694,0.415846,-0.731431,,,,,,
24,0.200000,10.847377,11.738717,9.228249,-0.686029,0.405170,-0.742224,0.000387,-0.050755,-0.056242,-0.037863,0.849154,0.042138,0.044624,0.027206,0.928077,0.008617,0.011618,0.010657,0.830399,-0.733512,0.348357,-0.782118,-0.646834,0.451347,-0.713102,-0.677696,0.415841,-0.731422,,,,,,
25,0.208333,10.899473,11.815797,9.263943,-0.686041,0.405159,-0.742225,0.000382,-0.050755,-0.056242,-0.037863,0.844051,0.042138,0.044624,0.027206,0.931524,0.008617,0.011618,0.010657,0.826739,-0.733505,0.348359,-0.782122,-0.646831,0.451353,-0.713113,-0.677737,0.415805,-0.731409,,,,,,
26,0.216667,10.835966,11.726725,9.222643,-0.686025,0.405171,-0.742225,0.000383,-0.050755,-0.056242,-0.037863,0.846215,0.042138,0.044624,0.027206,0.928432,0.008617,0.011618,0.010657,0.828070,-0.733499,0.348363,-0.782113,-0.646827,0.451352,-0.713106,-0.677702,0.415836,-0.731426,,,,,,
27,0.225000,10.875675,11.786462,9.251353,-0.686027,0.405169,-0.742226,0.000387,-0.050755,-0.056242,-0.037863,0.847270,0.042138,0.044624,0.027206,0.927694,0.008617,0.011618,0.010657,0.829237,-0.733504,0.348357,-0.782115,-0.646839,0.451351,-0.713106,-0.677694,0.415836,-0.731428,,,,,,
28,0.233333,10.845993,11.744337,9.233241,-0.686035,0.405166,-0.742225,0.000387,-0.050755,-0.056242,-0.037863,0.848776,0.042138,0.044624,0.027206,0.928364,0.008617,0.011618,0.010657,0.829200,-0.733515,0.348348,-0.782115,-0.646838,0.451352,-0.713107,-0.677708,0.415834,-0.731425,,,,,,
